지점,일시,평균 풍속(m/s),평균기압(hPa),평균 상대습도(%),평균 기온(°C),평균 수온(°C),평균 최대 파고(m),평균 유의 파고(m),최고 유의 파고(m),최고 최대 파고(m),평균 파주기(sec),최고 파주기(sec)
22189,2016-04,14,1008.4,92,13.8,16.1,5,3.1,4.6,8.2,7.2,9.1
22189,2016-04,12.7,1006.8,81,13.1,15.8,6.1,3.9,5.7,9.1,8,9.1
22189,2016-04,5.4,1013.2,63,14.9,16.1,2.5,1.5,2.3,4,7.1,8
22189,2016-04,11,1013,83,16.4,15.9,2.4,1.5,2,3.1,5.2,8
22189,2016-05,9.6,1015.2,86,17.1,16.1,2.2,1.4,1.8,2.8,4.9,9.1
22189,2016-05,5.9,1015.3,92,17.3,16.5,1.2,0.7,1.1,1.6,6.5,9.1
22189,2016-05,13.6,1000.3,81,16.8,16,4.5,2.8,4.8,7.2,6.7,9.1
22189,2016-05,12.4,1005.2,72,16.9,15.8,4.6,2.8,3.5,5.9,6.9,8
22189,2016-05,4.9,1015.3,73,17,15.9,1.8,1.1,2,3,6,7.1
22189,2016-05,6.8,1008.7,92,16.7,15.8,1.8,1.1,1.6,2.8,5.1,7.1
22189,2016-05,4.7,1012,81,16.8,15.9,1.4,0.8,1.5,2.9,4.8,9.1
22189,2016-05,3.3,1017.4,86,16.4,16,0.8,0.5,0.7,1.2,6.4,9.1
22189,2016-05,1.9,1011,92,16.5,16.3,0.8,0.5,0.7,1.1,4.9,5.8
22189,2016-05,7.9,1004.7,94,15.5,16.1,2.4,1.5,3.6,5.5,5.2,8
22189,2016-05,7,1009.6,80,15,16,3.8,2.3,3.9,6.3,7.3,8
22189,2016-05,6.6,1014.3,85,16.8,16.1,1.6,1,1.2,2.2,6.9,9.1
22189,2016-05,7.9,1019.9,83,16.8,17.1,1.7,1,1.6,2.6,4.5,8
22189,2016-05,6.6,1023.6,82,15.6,17.4,1.7,1.1,1.2,2.1,5.1,6.4
22189,2016-05,5.2,1013.1,92,17.8,17.8,1.4,0.9,1.6,2.9,5.3,5.8
22189,2016-05,8.2,1008.8,81,16.6,18,2.1,1.3,1.8,3.4,5,5.8
22189,2016-05,3.2,1015.6,54,18.5,18.5,0.7,0.5,0.8,1.1,5.3,6.4
22189,2016-05,2.5,1018.3,68,18.7,18.9,0.5,0.3,0.3,0.6,4.7,7.1
22189,2016-05,2.4,1018.8,80,18.6,18.8,0.6,0.4,0.5,0.9,4.6,6.4
22189,2016-05,4.7,1018.8,91,17.8,19,0.8,0.5,0.8,1.6,3.3,4.6
22189,2016-05,6.8,1019.1,85,18.3,19,1.2,0.7,0.9,1.7,3.8,4.3
22189,2016-05,6.2,1017.7,83,18.1,19,1.3,0.8,1,1.6,4.4,4.9
22189,2016-05,3.8,1014.6,90,18.7,19.4,1,0.6,0.9,1.4,4.7,5.3
22189,2016-05,6.7,1007.8,92,19.4,19.2,1.3,0.8,1.3,2.3,3.9,6.4
22189,2016-05,3.4,1009.8,83,19.8,19.5,0.8,0.5,0.8,1.4,3.6,4.9
22189,2016-05,3.3,1009.5,87,20.4,19.9,0.6,0.3,0.4,0.8,3.4,7.1
22189,2016-05,3,1011.3,84,20.5,20,0.5,0.3,0.4,0.8,3,7.1
22189,2016-05,5.1,1007.8,84,20.1,19.9,0.9,0.5,1.1,1.7,3.5,4.9
22189,2016-05,3.7,1004.1,85,20,19.9,0.5,0.3,0.8,1.3,3.4,6.4
22189,2016-05,3.7,1006.1,88,20.2,20.2,0.7,0.4,0.7,1.1,3.2,4.3
22189,2016-05,5.9,1006.3,87,20.8,20.2,1.1,0.7,1,1.8,3.1,4.3
22189,2016-06,8.1,1008.8,69,19.5,19.7,2.2,1.3,1.8,3,5.1,6.4
22189,2016-06,4.3,1011.4,69,19.3,19.7,1.5,0.9,1.2,2.5,6.3,9.1
22189,2016-06,4.6,1011.3,81,20.1,20.2,1.6,1,1.2,2.2,9.3,10.7
22189,2016-06,5.9,1009.4,89,19.9,20.3,1,0.6,1,1.8,6.1,9.1
22189,2016-06,8.8,1011,85,20,19.9,2.5,1.6,1.9,3,5.6,6.4
22189,2016-06,6,1013.3,89,19.7,19.9,2.2,1.3,1.9,2.9,5.9,7.1
22189,2016-06,2.3,1011,94,20.1,20.2,1.2,0.7,1.1,1.8,5.7,6.4
22189,2016-06,2.4,1010,95,20.4,20.3,0.7,0.4,0.5,0.8,4.3,6.4
22189,2016-06,5,1011.4,95,20.5,20.2,0.8,0.5,0.7,1.2,3.8,5.3
22189,2016-06,2.7,1013.5,91,20.7,20.5,0.5,0.3,0.4,0.9,3.3,4.9
22189,2016-06,4.4,1011.4,93,21.5,21.3,0.6,,0.5,0.8,3.6,5.3
22189,2016-06,3.1,1006.4,97,21.6,21.2,0.6,0.3,0.5,0.8,4,4.9
