지점,일시,평균 풍속(m/s),평균기압(hPa),평균 상대습도(%),평균 기온(°C),평균 수온(°C),평균 최대 파고(m),평균 유의 파고(m),최고 유의 파고(m),최고 최대 파고(m),평균 파주기(sec),최고 파주기(sec)
22104,1999-10,5,1018.5,81,20.5,23.9,1.4,0.4,0.7,1.9,1.3,7.5
22104,1999-10,7,1018.9,72,20.3,23.6,1.4,0.4,0.7,2.2,3,7.5
22104,1999-10,6.7,1017.9,75,18.1,23.1,1.8,0.6,1,2.7,1,1.1
22104,1999-10,9.8,1022.3,42,13.4,22.1,0.2,0,0.3,1.2,4.4,7.5
22104,1999-10,6.9,1024.2,49,12,21.9,0.1,0,0,0.1,4.8,7.5
22104,1999-10,5,1024.5,57,15.4,22.4,0.2,0,0.3,1.2,4.9,7.5
22104,1999-10,,1020.7,59,16.9,22.2,,,,,,
22104,1999-10,4.7,1019.1,56,17,21.7,0.1,0,0,0.1,5.7,7.5
22104,1999-10,4,1020.5,62,17.5,21.7,0.1,0,0,0.1,5,7.5
22104,1999-10,3.5,1020.3,61,18,21.3,0.1,0,0.1,0.7,4.3,7.5
22104,1999-10,10.6,1022.5,64,16.5,20.6,0.1,0,0.1,0.1,4.7,7.5
22104,1999-10,8.4,1021.7,66,15.9,20.4,0.1,0,0.1,0.1,4.6,7.5
22104,1999-10,6.2,1017.4,77,17.6,20,0.1,0,0.1,0.1,4.9,7.5
22104,1999-10,3.3,1013.6,69,18.7,20.1,0.1,0,0,0.1,5.5,7.5
22104,1999-10,5.4,1015.3,77,17.6,19.9,0.1,0,0.1,0.1,6.3,7.5
22104,1999-10,7.5,1016.8,61,17.1,20,0.1,0,0.1,0.1,5.2,7.5
22104,1999-10,,1015.4,70,16.2,19.7,,,,,,
22104,1999-11,8.8,1012.6,70,14.6,19.2,0.1,0,0,0.1,4.4,7.5
22104,1999-11,7.4,1021.7,48,13.1,18.6,0.1,0,0.1,0.1,3.7,7.5
22104,1999-11,4.5,1024.3,54,13.2,18.7,0.1,0,0,0.1,6.6,7.5
22104,1999-11,5.9,1025.6,47,,19.9,0.1,0,0.1,0.1,6.1,7.5
22104,1999-11,4,,,,,0.1,0,0,0.1,5.2,7.5
22104,1999-11,4.9,1023.2,65,16.9,19.8,0.1,0,0,0.1,4.7,7.5
22104,1999-11,4.7,1017.8,70,16.6,19.5,0.1,0,0,0.1,5.1,7.5
22104,1999-11,7.2,1014.3,67,16.3,19.4,0.1,0,0,0.1,3.8,7.5
22104,1999-11,10.6,1020.3,60,14.4,18.5,0.1,0,0.1,0.1,4.1,7.5
22104,1999-11,6.4,1021.9,62,14.4,18.5,0.1,0,0,0.1,4.6,7.5
22104,1999-11,3.7,1016.1,75,15.1,18.5,0.1,0,0.1,0.1,5.6,7.5
22104,1999-11,7,1012.9,69,16,19.1,0.1,0,0,0.1,3.4,7.5
22104,1999-11,7.2,,,,,0.1,0,0.1,0.1,4.3,7.5
22104,1999-11,7.1,1020.8,72,16.1,18.4,0.1,0,0,0.1,4.3,7.5
22104,1999-11,7.4,,,,,0.1,0,0,0.1,4.9,7.5
22104,1999-11,6.2,,,,,0.1,0,0,0.1,4.2,7.5
22104,1999-11,4.8,1025.4,56,9.9,17.1,0.1,0,0,0.1,4.7,7.5
22104,1999-11,3.6,1023.4,53,11,17.8,0.1,0,0,0.1,6.1,7.5
22104,1999-11,3.1,1022.9,55,11.6,17.1,0.4,0.1,0.3,1,3.4,7.5
22104,1999-11,3.7,1021.7,61,13,16.5,0.6,0.2,0.2,0.8,1.3,7.5
22104,1999-11,4.2,1023.9,55,12.5,16.3,0.7,0.2,0.3,1,1.4,7.5
22104,1999-11,2.8,1023.6,58,13.5,16.5,0.5,0.1,0.2,0.6,1.6,7.5
22104,1999-11,5,1021.5,60,15.2,19.1,0.6,0.2,0.3,0.8,0.9,1.2
22104,1999-11,6,1015.4,59,15.6,19.8,0.7,0.2,0.3,0.8,1.4,7.5
22104,1999-11,6.5,1013,54,13.2,18.3,1.3,0.4,0.6,2,2.1,7.5
22104,1999-11,6.9,1022.8,45,5.1,16.1,2.1,0.7,1,2.7,1,1.3
22104,1999-11,5.1,1023.7,56,5.8,16.9,1.6,0.5,0.7,2.3,1.1,1.2
22104,1999-11,6.6,1025.2,56,5.6,16,1.2,0.4,0.5,1.7,1,1.1
22104,1999-11,4.6,1027.3,56,6.4,17.2,1.1,0.4,0.5,1.5,1,1.1
22104,1999-11,4.1,1029.7,46,9,17,0.8,0.3,0.5,1.3,0.9,1
22104,1999-12,5.8,1029.5,60,9.6,16.2,0.9,0.3,0.4,1.1,1,1.3
22104,1999-12,7.7,1031.2,50,10.5,17.1,1.4,0.4,0.6,1.8,3.2,7.5
22104,1999-12,5.2,1034.1,54,11.4,19.1,1.5,0.5,0.7,2,1.1,7.5
22104,1999-12,6.1,,,,,1.3,0.4,0.6,1.8,0.9,1
22104,1999-12,5.7,1021.5,59,10.4,18.1,1,0.3,0.4,1.5,1,1.1
22104,1999-12,8.7,1022.5,54,6.4,17,1.9,0.6,0.8,2.4,1.2,7.5
22104,1999-12,7.3,1029.2,42,6.4,16.4,1.9,0.7,0.9,2.6,1.7,9
22104,1999-12,6.4,1025.3,57,9.2,16.8,1.4,0.4,0.6,2.2,0.9,1.1
22104,1999-12,6.4,1020.3,53,11.7,16.9,1.4,0.5,0.6,2.3,1.5,7.5
22104,1999-12,7.9,1018.3,51,11.1,16.1,1.6,0.5,0.9,2.5,1.9,7.5
22104,1999-12,7.4,1024.6,34,7,15.5,1.4,0.4,0.7,2.1,2.3,7.5
22104,1999-12,7.1,1024.4,38,6.1,15,1.4,0.5,0.7,2.1,0.9,1
22104,1999-12,5.9,1021,54,8.7,17.2,1,0.4,0.4,1.3,1,1.2
22104,1999-12,6.9,1022,52,6.5,17.5,1.4,0.4,0.6,1.9,1,1.1
22104,1999-12,5,1024,49,8.2,17.5,1,0.3,0.4,1.2,1.2,7.5
22104,1999-12,5.8,1023.9,55,10.4,17.2,1.1,0.3,0.5,1.6,2.1,7.5
22104,1999-12,7.7,1023.9,49,6.2,16.2,1.3,0.4,0.6,1.7,2.9,7.5
22104,1999-12,9,1027.4,46,2.2,15.9,1.9,0.7,0.7,2.4,0.9,1
22104,1999-12,7.1,1026.4,50,0.9,15.5,1.8,0.6,0.8,2.2,1,1
22104,1999-12,8.1,1026.3,54,-0.4,15.3,1.8,0.6,0.8,2.5,0.9,1
22104,1999-12,8.2,1025.6,48,1.1,15.1,1.9,0.6,0.9,3.3,1,1.3
22104,1999-12,10.6,1024.7,52,2,14.9,2.5,0.9,1.1,3.1,1.1,1.3
22104,1999-12,6.1,1024.6,57,4.1,14.9,1.4,0.4,0.6,1.8,0.9,1
